Datetime,Open,High,Low,Close,Volume
2024-05-06,4776.23,5182.21,4776.23,5182.21,7939000
2024-05-07,5158.33,5158.33,4919.52,4943.4,9408100
2024-05-08,4967.28,4991.16,4871.75,4967.28,7892600
2024-05-13,4991.16,5015.04,4823.99,4919.52,6876900
2024-05-14,4943.4,4967.28,4766.68,4800.11,4844800
2024-05-15,4871.75,4919.52,4776.23,4847.87,7329400
2024-05-16,4919.52,4943.4,4823.99,4823.99,7912700
2024-05-17,4823.99,4871.75,4747.57,4776.23,7744800
2024-05-20,4776.23,4847.87,4766.68,4776.23,6096000
2024-05-21,4812.67,4812.67,4658.67,4716.42,6492200
2024-05-22,4735.67,4812.67,4716.42,4812.67,4947700
2024-05-27,4812.67,4812.67,4658.67,4764.55,5149100
2024-05-28,4764.55,4774.17,4677.92,4697.17,5910400
2024-05-29,4706.8,4745.3,4658.67,4726.05,1698700
2024-05-30,4726.05,4735.67,4668.29,4706.8,2451700
2024-05-31,4706.8,4706.8,4600.92,4600.92,8751400
2024-06-03,4600.92,4658.67,4572.04,4581.67,7516700
2024-06-04,4581.67,4836.74,4581.67,4745.3,7426400
2024-06-05,4745.3,4812.67,4726.05,4812.67,4273300
2024-06-06,4812.67,4981.12,4812.67,4884.86,12243200
2024-06-07,4884.87,5005.18,4884.87,4981.12,3592600
2024-06-10,4981.12,5005.18,4860.8,4860.8,2927700
2024-06-11,4860.8,4957.06,4860.8,4860.8,3326700
2024-06-12,4860.8,4932.99,4783.8,4836.74,2393000
2024-06-13,4860.8,4908.93,4716.42,4764.55,1494700
2024-06-14,4745.3,4764.55,4533.54,4562.42,4020800
2024-06-19,4562.42,4581.67,4504.66,4514.29,5631200
2024-06-20,4523.91,4649.04,4456.54,4600.92,3073400
2024-06-21,4600.92,4836.74,4600.92,4803.05,5342500
2024-06-24,4793.42,4908.93,4793.42,4836.74,5726800
2024-06-25,4836.74,4884.86,4764.55,4812.67,3312800
2024-06-26,4812.67,4908.93,4726.05,4774.17,3945800
2024-06-27,4783.8,4803.05,4745.3,4745.3,1022900
2024-06-28,4764.55,4860.8,4764.55,4793.42,7217700
2024-07-01,4793.42,4836.74,4735.67,4764.55,6328700
2024-07-02,4803.05,5053.31,4774.17,4957.06,23405000
2024-07-03,5005.18,5173.63,4981.12,5053.31,15435000
2024-07-04,5053.31,5197.69,4908.93,5053.31,9838800
2024-07-05,5053.31,5221.75,5005.18,5077.37,19346300
2024-07-08,5077.37,5197.69,5053.31,5053.31,8088700
2024-07-09,5053.31,5269.88,5005.18,5053.31,8588200
2024-07-10,5077.37,5101.44,4932.99,4932.99,2107500
2024-07-11,4957.06,5173.63,4957.06,5101.44,6528200
2024-07-12,5125.5,5245.82,5053.31,5173.63,4198900
2024-07-15,5173.63,5197.69,4981.12,5101.44,5487100
2024-07-16,5125.5,5125.5,5005.18,5125.5,2877300
2024-07-17,5125.5,5149.56,5005.18,5005.18,1982800
2024-07-18,5005.18,5077.37,4932.99,4932.99,3580400
2024-07-19,4981.12,5149.56,4908.93,5149.56,7087700
2024-07-22,5173.63,5197.69,5101.44,5149.56,2652100
2024-07-23,5125.5,5269.88,5101.44,5245.82,7592600
2024-07-24,5245.82,5269.88,5101.44,5245.82,2780400
2024-07-25,5245.82,5390.2,5173.63,5269.88,7953000
2024-07-26,5293.94,5342.07,5197.69,5197.69,11255900
2024-07-29,5245.82,5245.82,5101.44,5197.69,4282500
2024-07-30,5221.75,5221.75,5005.18,5125.5,5455400
2024-07-31,5149.56,5366.13,5125.5,5342.07,10188400
2024-08-01,5390.2,5390.2,5053.31,5197.69,9778700
2024-08-02,5173.63,5197.69,5125.5,5149.56,6587300
2024-08-05,5101.44,5149.56,4957.06,5101.44,6585200
2024-08-06,5101.44,5245.82,5053.31,5221.75,5007600
2024-08-07,5221.75,5245.82,5197.69,5197.69,1690400
2024-08-08,5197.69,5245.82,5125.5,5149.56,1901500
2024-08-09,5197.69,5318.01,5197.69,5269.88,4563800
2024-08-12,5269.88,5390.2,5269.88,5293.94,5071500
2024-08-13,5366.13,5366.13,5293.94,5293.94,4125500
2024-08-14,5293.94,5342.07,5245.82,5293.94,5153500
2024-08-15,5293.94,5293.94,5101.44,5197.69,5308800
2024-08-16,5221.75,5221.75,5149.56,5197.69,3047200
2024-08-19,5197.69,5221.75,5173.63,5221.75,1152400
2024-08-20,5245.82,5293.94,5197.69,5245.82,2990900
2024-08-21,5269.88,5318.01,5245.82,5245.82,3629100
2024-08-22,5197.69,5269.88,5173.63,5269.88,2466900
2024-08-23,5293.94,5293.94,5197.69,5197.69,2731900
2024-08-26,5197.69,5269.88,5173.63,5221.75,3800100
2024-08-27,5221.75,5221.75,5173.63,5221.75,3597700
2024-08-28,5293.94,5293.94,5221.75,5221.75,2391700
2024-08-29,5245.82,5245.82,5101.44,5101.44,5090500
2024-08-30,5101.44,5149.56,5053.31,5149.56,6363200
2024-09-02,5125.5,5197.69,5077.37,5077.37,5696100
2024-09-03,5101.44,5149.56,4981.12,5053.31,3086700
2024-09-04,5029.25,5077.37,4981.12,5029.25,2522500
2024-09-05,5029.25,5197.69,5029.25,5149.56,9095200
2024-09-06,5149.56,5149.56,5005.18,5029.25,4743300
2024-09-09,5005.18,5005.18,4793.42,4860.8,23187700
2024-09-10,4908.93,4908.93,4591.29,4735.67,30623900
2024-09-11,4735.67,4774.17,4639.42,4677.92,11258000
2024-09-12,4668.29,4726.05,4629.79,4716.42,12372700
2024-09-13,4716.42,4774.17,4697.17,4745.3,7280900
2024-09-17,4764.55,4957.05,4754.92,4908.93,12984500
2024-09-18,4908.93,4932.99,4836.74,4860.8,6403600
2024-09-19,4957.06,4957.06,4812.67,4836.74,7856100
2024-09-20,4836.74,4836.74,4706.8,4754.92,10831100
2024-09-23,4754.92,4836.74,4735.67,4783.8,3558200
2024-09-24,4793.42,4803.05,4735.67,4774.17,4481700
2024-09-25,4774.17,4774.17,4639.42,4745.3,10543400
2024-09-26,4735.67,4783.8,4697.17,4783.8,6183000
2024-09-27,4803.05,4803.05,4677.92,4745.3,8404900
2024-09-30,4745.3,4774.17,4658.67,4745.3,8699000
2024-10-01,4774.17,4774.17,4706.8,4716.42,4447400
2024-10-02,4716.42,4726.05,4668.29,4697.17,5797600
2024-10-03,4697.17,4745.3,4658.67,4716.42,3838700
2024-10-04,4726.05,4726.05,4677.92,4697.17,2235700
2024-10-07,4706.8,4774.17,4697.17,4745.3,4226900
2024-10-08,4745.3,4745.3,4677.92,4735.67,4057700
2024-10-09,4716.42,4745.3,4706.8,4706.8,2721500
2024-10-10,4735.67,4754.92,4697.17,4754.92,2818300
2024-10-11,4803.05,4803.05,4735.67,4745.3,1863000
2024-10-14,4745.3,4745.3,4697.17,4697.17,1938500
2024-10-15,4697.17,4735.67,4687.55,4687.55,3646500
2024-10-16,4687.55,4716.42,4649.04,4716.42,8602700
2024-10-17,4687.55,4697.17,4649.04,4649.04,10437200
2024-10-18,4658.67,4706.8,4649.04,4649.04,8588900
2024-10-21,4668.29,4677.92,4639.42,4649.04,4175700
2024-10-22,4658.67,4658.67,4610.54,4658.67,6432500
2024-10-23,4658.67,4668.29,4620.17,4649.04,4026600
2024-10-24,4649.04,4658.67,4620.17,4620.17,1470100
2024-10-25,4629.79,4639.42,4543.17,4543.17,6308900
2024-10-28,4543.16,4543.16,4466.16,4504.66,6016100
2024-10-29,4533.54,4649.04,4514.29,4629.79,6422100
2024-10-30,4658.67,4668.29,4581.67,4668.29,3176900
2024-10-31,4658.67,4677.92,4629.79,4668.29,8842000
2024-11-01,4668.29,4687.55,4591.29,4600.92,5541900
2024-11-04,4600.92,4600.92,4398.78,4523.91,6426800
2024-11-05,4523.91,4562.42,4485.41,4533.54,4021900
2024-11-06,4552.79,4562.42,4495.04,4543.17,4157500
2024-11-07,4543.17,4591.29,4446.91,4581.67,3757500
2024-11-08,4591.29,4649.04,4552.79,4600.92,3994300
2024-11-11,4562.42,4572.04,4475.79,4523.91,2801600
2024-11-12,4514.29,4572.04,4504.66,4533.54,2828400
2024-11-13,4514.29,4523.91,4389.16,4408.41,5460800
2024-11-14,4418.04,4418.04,4244.78,4398.78,10250300
2024-11-15,4398.79,4437.29,4341.03,4389.16,2683800
2024-11-18,4389.16,4427.66,4350.66,4369.91,1117400
2024-11-19,4341.03,4389.16,4321.78,4350.66,5271200
2024-11-20,4389.16,4408.41,4360.28,4389.16,1238400
2024-11-21,4389.16,4456.54,4350.66,4408.41,6386200
2024-11-22,4408.41,4446.91,4389.16,4427.66,3486500
2024-11-25,4418.04,4456.54,4389.16,4427.66,6221600
2024-11-26,4437.29,4523.91,4408.41,4523.91,2354600
2024-11-28,4504.66,4514.29,4398.78,4427.66,3572800
2024-11-29,4437.29,4437.29,4283.28,4283.28,3716000
2024-12-02,4264.03,4360.28,4196.65,4254.4,4840400
2024-12-03,4254.4,4302.53,4215.9,4292.91,2645000
2024-12-04,4292.91,4408.41,4264.03,4408.41,2184100
2024-12-05,4389.16,4408.41,4379.53,4398.78,841600
2024-12-06,4398.78,4456.54,4350.66,4408.41,2215700
2024-12-09,4408.41,4418.04,4350.66,4350.66,3550700
2024-12-10,4379.53,4398.78,4273.66,4283.28,4633200
2024-12-11,4331.41,4398.78,4331.41,4369.91,2597000
2024-12-12,4398.78,4398.78,4302.53,4331.41,1101500
2024-12-13,4341.03,4341.03,4244.78,4292.91,3170000
2024-12-16,4321.78,4321.78,4187.03,4206.28,2778000
2024-12-17,4187.03,4196.65,4129.28,4138.9,3513300
2024-12-18,4138.9,4158.15,3975.27,4023.4,4527700
2024-12-19,3994.52,4042.65,3830.89,3879.02,8633400
2024-12-20,3879.02,3975.27,3792.39,3936.77,4292200
